question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links,multiple_constraints,numerical_reasoning,post_processing,tabular_reasoning,temporal_reasoning,sum,wiki_len,fold
"As of Aug 3, 2024, the artist who released the album ""Father of Asahd"" went to the same high school as an Olympic diver. How many Olympic teams did this diver participate on?",2,https://en.wikipedia.org/wiki/Father_of_Asahd,https://en.wikipedia.org/wiki/DJ_Khaled,https://en.wikipedia.org/wiki/Dr._Phillips_High_School,https://en.wikipedia.org/wiki/Mark_Ruiz,,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Father_of_Asahd', 'https://en.wikipedia.org/wiki/DJ_Khaled', 'https://en.wikipedia.org/wiki/Dr._Phillips_High_School', 'https://en.wikipedia.org/wiki/Mark_Ruiz']",1,0,0,0,1,2,4,0
"One of Barbara Kingsolver's best known novels is about an American missionary family which moves to Africa. At the time, the country they move to was a Belgian colony. Which year did it become independent?",1960,https://en.wikipedia.org/wiki/Barbara_Kingsolver,https://en.wikipedia.org/wiki/The_Poisonwood_Bible,https://en.wikipedia.org/wiki/Belgian_Congo,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Barbara_Kingsolver', 'https://en.wikipedia.org/wiki/The_Poisonwood_Bible', 'https://en.wikipedia.org/wiki/Belgian_Congo']",1,0,0,0,0,1,3,0
"In August of 2024, what is the first name of the mayor of the U.S. state capital city who attended the same university as at least one U.S. president and whose city is home to an outgoing or former full member of the Big 12 Conference",Leirion,https://en.wikipedia.org/wiki/Big_12_Conference,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird,https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Big_12_Conference', 'https://en.wikipedia.org/wiki/Lincoln,_Nebraska', 'https://en.wikipedia.org/wiki/Leirion_Gaylor_Baird', 'https://en.wikipedia.org/wiki/List_of_presidents_of_the_United_States_by_education']",1,0,0,0,0,1,4,0
"As of August 4, 2024, in what state was the first secretary of the latest United States federal executive department born?",Pennsylvania,https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments,https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security,https://en.wikipedia.org/wiki/Tom_Ridge,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/United_States_federal_executive_departments#Former_departments', 'https://en.wikipedia.org/wiki/United_States_Secretary_of_Homeland_Security', 'https://en.wikipedia.org/wiki/Tom_Ridge']",1,0,0,1,0,2,3,0
Małgorzata Rożniecka is a model who won the title of Miss International. What is the difference in title years from when she won and the pageant winner who was murdered by her stalker?,10 years,https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka,https://en.wikipedia.org/wiki/Miss_International,https://en.wikipedia.org/wiki/Agnieszka_Kotlarska,,,,,,,,,Numerical reasoning | Tabular reasoning,"['https://en.wikipedia.org/wiki/Ma%C5%82gorzata_Ro%C5%BCniecka', 'https://en.wikipedia.org/wiki/Miss_International', 'https://en.wikipedia.org/wiki/Agnieszka_Kotlarska']",0,1,0,1,0,2,3,0
"According to the 1990 United States census, what was the total population of the cities in Oklahoma that had at least 100,000 residents according to the 2020 United States census?",950135,https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,https://en.wikipedia.org/wiki/Oklahoma_City,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma","https://en.wikipedia.org/wiki/Norman,_Oklahoma",,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population', 'https://en.wikipedia.org/wiki/Oklahoma_City', 'https://en.wikipedia.org/wiki/Tulsa,_Oklahoma', 'https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma', 'https://en.wikipedia.org/wiki/Norman,_Oklahoma']",1,1,0,1,0,3,5,0
"What was the political party of the person who advocated for the type of government used in Chikhali, Latur district to become the foundation of India's political system?",Indian National Congress,"https://en.wikipedia.org/wiki/Chikhali,_Latur_district",https://en.wikipedia.org/wiki/Panchayati_raj,https://en.wikipedia.org/wiki/Mahatma_Gandhi,,,,,,,,,Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Chikhali,_Latur_district', 'https://en.wikipedia.org/wiki/Panchayati_raj', 'https://en.wikipedia.org/wiki/Mahatma_Gandhi']",1,0,0,1,0,2,3,0
"Giorgio Rognoni was an Italian professional footballer who played as a midfielder. 10 years after his death who was the midfielder who played in Milan that was born in Besana in Brianza,?",Demetrio Albertini,https://en.wikipedia.org/wiki/Giorgio_Rognoni,https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season,https://en.wikipedia.org/wiki/Demetrio_Albertini,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Giorgio_Rognoni', 'https://en.wikipedia.org/wiki/1996%E2%80%9397_AC_Milan_season', 'https://en.wikipedia.org/wiki/Demetrio_Albertini']",0,1,0,0,0,1,3,0
Which species from the genus mulona are both found in the same country?,Mulona barnesi and mulona schausi,https://en.wikipedia.org/wiki/Mulona,https://en.wikipedia.org/wiki/Mulona_barnesi,https://en.wikipedia.org/wiki/Mulona_grisea,https://en.wikipedia.org/wiki/Mulona_lapidaria,https://en.wikipedia.org/wiki/Mulona_manni,https://en.wikipedia.org/wiki/Mulona_piperita,https://en.wikipedia.org/wiki/Mulona_schausi,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Mulona', 'https://en.wikipedia.org/wiki/Mulona_barnesi', 'https://en.wikipedia.org/wiki/Mulona_grisea', 'https://en.wikipedia.org/wiki/Mulona_lapidaria', 'https://en.wikipedia.org/wiki/Mulona_manni', 'https://en.wikipedia.org/wiki/Mulona_piperita', 'https://en.wikipedia.org/wiki/Mulona_schausi']",1,0,0,0,0,1,7,0
"As of July 1, 2024, if I wanted to give my daughter the middle name of the American woman who is the most decorated female in the history of American gymnastics as her first name and the full first name of the American woman who holds the world record in the 800-meter freestyle as her middle name, what would I name my daughter? ",Arianne Kathleen,https://en.wikipedia.org/wiki/Simone_Biles,https://en.wikipedia.org/wiki/Katie_Ledecky,,,,,,,,,,Post processing,"['https://en.wikipedia.org/wiki/Simone_Biles', 'https://en.wikipedia.org/wiki/Katie_Ledecky']",0,0,1,0,0,1,2,0
